"periode_data","jenis","kode_trayek","trayek","jumlah_penumpang"
"202102","Mikrotrans","JAK.06","Kampung Rambutan - Pondok Gede","68724"
"202102","Mikrotrans","JAK.05","Semper - Rorotan","65797"
"202102","Mikrotrans","JAK.04","Grogol - Tubagus Angke","45396"
"202102","Mikrotrans","JAK.03","Lebak Bulus - Andara","29697"
"202102","Mikrotrans","JAK.02","Kampung Melayu - Duren Sawit","43512"
"202102","Mikrotrans","JAK.01","Tanjung Priok - Plumpang","56501"
"202102","BRT","9","Pinang Ranti - Pluit","611856"
"202102","BRT","8","Lebak Bulus - Harmoni","414326"
"202102","BRT","7","Kampung Rambutan - Kampung Melayu","370317"
"202102","BRT","6","Ragunan - Dukuh Atas 2","316703"
"202102","BRT","5","Kampung Melayu - Ancol","397019"
"202102","BRT","4","Pulo Ggadung 2 - Tosari","250418"
"202102","BRT","3","Kalideres - Pasar Baru","436078"
"202102","BRT","2","Pulo Gadung 1 - Harmoni","312708"
"202102","BRT","13","Ciledug - Tendean","265717"
"202102","BRT","12","Penjaringan - Sunter Bouleverd Barat","134609"
"202102","BRT","11","Pulo Gebang - Kampung Melayu","134665"
"202102","BRT","10","Tanjung Priok - PGC 2","349572"
"202102","BRT","1","Blok M - Kota","799708"
"202102","Angkutan Umum Integrasi","9H","Cipedak - Blok M","5936"
"202102","Angkutan Umum Integrasi","9E","Kebayoran Lama - Jelambar","11469"
"202102","Angkutan Umum Integrasi","9D","Pasar Minggu - Tanah Abang","59242"
"202102","Angkutan Umum Integrasi","8K","Batu Sari-Tanah Abang","6629"
"202102","Angkutan Umum Integrasi","8E","Bintaro - Blok M","15555"
"202102","Angkutan Umum Integrasi","8D","Joglo - Blok M","28516"
"202102","Angkutan Umum Integrasi","8C","Kebayoran Lama - Tanah Abang","11525"
"202102","Angkutan Umum Integrasi","7P","Pondok Kelapa - BKN","19590"
"202102","Angkutan Umum Integrasi","7D","Pancoran - TMII","17270"
"202102","Angkutan Umum Integrasi","7B","Kampung Rambutan - Blok M","68351"
"202102","Angkutan Umum Integrasi","7A","Kampung Rambutan - Lebak Bulus","36101"
"202102","Angkutan Umum Integrasi","6R","Ragunan - Stasin MRT Fatmawati","2497"
"202102","Angkutan Umum Integrasi","6M","Stasiun Manggarai - Blok M","21277"
"202102","Angkutan Umum Integrasi","6H","Senen - Lebak Bulus","14490"
"202102","Angkutan Umum Integrasi","6C","Stasin Tebet - Karet via Patra Kuningan","71799"
"202102","Angkutan Umum Integrasi","5M","Kampung Melayu - Tanah Abang via Cikini","60005"
"202102","Angkutan Umum Integrasi","5F","Kampung Melayu - Tanah Abang","15393"
"202102","Angkutan Umum Integrasi","5B","Stasiun Tebet - Bidara Cina","6618"
"202102","Angkutan Umum Integrasi","4F","Pinang Ranti - Pulo Gadung","32019"
"202102","Angkutan Umum Integrasi","4B","Stasiun Manggarai - UI","28783"
"202102","Angkutan Umum Integrasi","3E","Puri Kembangan - Sentraland Cengkareng","17495"
"202102","Angkutan Umum Integrasi","1R","Senen - Tanah Abang","10560"
"202102","Angkutan Umum Integrasi","1Q","Rempoa - Blok M","21239"
"202102","Angkutan Umum Integrasi","1P","Senen - Bundaran Senayan","5649"
"202102","Angkutan Umum Integrasi","1N","Tanah Abang - Blok M","7434"
"202102","Angkutan Umum Integrasi","1M","Meruya - Blok M","19950"
"202102","Angkutan Umum Integrasi","1H","Tanah Abang - Stasiun Gondangdia","34160"
"202102","Angkutan Umum Integrasi","1F","Stasiun Palmerah - Bundaran Senayan","4965"
"202102","Angkutan Umum Integrasi","1E","Pondok Labu - Blok M","57726"
"202102","Angkutan Umum Integrasi","1C","Pesanggrahan - Blok M","12977"
"202102","Angkutan Umum Integrasi","1B","Stasiun Palmerah - Tosari","17157"
"202102","Angkutan Umum Integrasi","1A","Pantai Maju - Balai Kota","50669"
"202102","Angkutan Umum Integrasi","12B","Pluit - Senen","9096"
"202102","Angkutan Umum Integrasi","11Q","Kampung Melayu - Pulo Gebang via BKT","8493"
"202102","Angkutan Umum Integrasi","11D","Pulo Gebang - Pulo Gadung 2 via PIK","47628"
"202102","Angkutan Umum Integrasi","10K","Tanjung Priok - Senen via Taman BMW","31243"
"202103","Mikrotrans","JAK.88","Terminal Tanjung Priok - Ancol Barat","29550"
"202103","Mikrotrans","JAK.85","Bintara - Cipinang Indah","29905"
"202103","Mikrotrans","JAK.84","Terminal Kampung Melayu - Kapin Raya","38674"
"202103","Mikrotrans","JAK.80","Rawa Buaya - Rawa Kompeni","63082"
"202103","Mikrotrans","JA.77","Tanjung Priok - Jembatan Item","67739"
"202103","Mikrotrans","JAK.75","Cililitan - Kp. Pulo","53047"
"202103","Mikrotrans","JAK.74","Terminal Rawamangun - Cipinang Muara","42207"
"202103","Mikrotrans","JAK.73","Jambore Cibubur - Pasar Rebo","78340"
"202103","Mikrotrans","JAK.72","Kampung Rambutan - Pasar Rebo via Poncol","91806"
"202103","Mikrotrans","JAK.71","Kampung Rambutan - Pinang Ranti","68156"
"202103","Mikrotrans","JAK.64","Lenteng Agung - Aseli","46819"
"202103","Mikrotrans","JAK.61","Cempaka Putih - Pulo Gadung via Kelapa Gading","41360"
"202103","Mikrotrans","JAK.60","Kelapa Gading - Rusun Kemayoran","77402"
"202103","Mikrotrans","JAK.59","Rawamangun - Tanah Merah","100686"
"202103","Mikrotrans","JAK.58","Cilingcing - Rorotan","97206"
"202103","Mikrotrans","JAK.56","Grogol - Srengseng","53886"
"202103","Mikrotrans","JAK.54","Grogol - Benhil","32490"
"202101","Mikrotrans","JAK.88","Terminal Tanjung Priok - Ancol Barat","1473"
"202101","Mikrotrans","JAK.85","Bintara - Cipinang Indah","20280"
"202101","Mikrotrans","JAK.84","Terminal Kampung Melayu - Kapin Raya","28779"
"202101","Mikrotrans","JAK.80","Rawa Buaya - Rawa Kompeni","54998"
"202101","Mikrotrans","JA.77","Tanjung Priok - Jembatan Item","60284"
"202101","Mikrotrans","JAK.75","Cililitan - Kp. Pulo","48220"
"202101","Mikrotrans","JAK.74","Terminal Rawamangun - Cipinang Muara","38572"
"202101","Mikrotrans","JAK.73","Jambore Cibubur - Pasar Rebo","65087"
"202101","Mikrotrans","JAK.72","Kampung Rambutan - Pasar Rebo via Poncol","85416"
"202101","Mikrotrans","JAK.71","Kampung Rambutan - Pinang Ranti","62822"
"202101","Mikrotrans","JAK.64","Lenteng Agung - Aseli","36802"
"202101","Mikrotrans","JAK.61","Cempaka Putih - Pulo Gadung via Kelapa Gading","36899"
"202101","Mikrotrans","JAK.60","Kelapa Gading - Rusun Kemayoran","72704"
"202101","Mikrotrans","JAK.59","Rawamangun - Tanah Merah","90624"
"202101","Mikrotrans","JAK.58","Cilingcing - Rorotan","96030"
"202101","Mikrotrans","JAK.56","Grogol - Srengseng","50223"
"202101","Mikrotrans","JAK.54","Grogol - Benhil","25049"
"202101","Mikrotrans","JAK.53","Grogol - Pos Pengumben via Slipi","20947"
"202101","Mikrotrans","JAK.52","Kalideres - Muara Angke","42875"
"202101","Mikrotrans","JAK.51","Taman Kota - Budi Luhur","96336"
"202101","Mikrotrans","JAK.50","Kalideres - Puri Kembangan","61171"
"202101","Mikrotrans","JAK.49","Lebak Bulus - Cipulir","36662"
"202101","Mikrotrans","JAK.47","Pasar Minggu - Ciganjur via KB Ragunan","39551"
"202101","Mikrotrans","JAK.46","Pasar Minggu - Jagakarsa","59975"
"202101","Mikrotrans","JAK.45","Lebak Bulus - Ragunan","47171"
"202101","Mikrotrans","JAK.44","Andara - Stasiun Universitas Pancasila","53202"
"202101","Mikrotrans","JAK.43","Tongtek - Cililitan","74225"
"202101","Mikrotrans","JAK.42","Kampung Melayu - Pondok Kelapa","50456"
"202101","Mikrotrans","JAK.41","Kampung Melayu - Ppulo Gadung","21109"
"202101","Mikrotrans","JAK.40","Harapan Baru - Pulo Gebang via Rawa Kuning","41797"
"202101","Mikrotrans","JAK.39","Kalimalang - Duren Sawit","54414"
"202101","Mikrotrans","JAK.38","Bulak Ringin - Kampung Rambutan","43994"
"202101","Mikrotrans","JAK.37","Cililitan - Condet via Kayu Manis","46026"
"202101","Mikrotrans","JAK.36","Cilangkap - Cililitan","87842"
"202101","Mikrotrans","JAK.35","Pangkalan Jati - Rawamangun","29321"
"202101","Mikrotrans","JAK.34","Rawamangun - Klender","68848"
"202101","Mikrotrans","JAK.33","Pulo Gadung - Kota","46531"
"202101","Mikrotrans","JAK.32","Lebak Bulus - Petukangan","83768"
"202101","Mikrotrans","JAK.31","Blok M - Andara","55577"
"202101","Mikrotrans","JAK.30","Grogol - Meruya via Roxy","128066"
"202101","Mikrotrans","JAK.29","Tanjung Priok - Sukapura","105832"
"202101","Mikrotrans","JAK.28","Kp. Rambutan - Taman Wiladatika","63490"
"202101","Mikrotrans","JAK.27","Pulo Gebang - Rorotan","47626"
"202101","Mikrotrans","JAK.26","Rawamangun - Duren Sawit","36715"
"202101","Mikrotrans","JAK.25","Kp. Rambutan - Kalisari","56614"
"202101","Mikrotrans","JAK.24","Senen - Pulo Gadung via Kelapa Gading","68914"
"202101","Mikrotrans","JAK.22","Dwikora - Penas Kalimalang","26467"
"202101","Mikrotrans","JAK.21","Cililitan - Dwikora","56815"
"202101","Mikrotrans","JAK.20","Cawang UKI - Lubang Buaya","59451"
"202101","Mikrotrans","JAK,19","Pinang Ranti - Kampung Rambutan","103680"
"202101","Mikrotrans","JAK.18","Kalibata - Kuningan","29032"
"202101","Mikrotrans","JAK.17","Senen - Pulo Gadung","33859"
"202101","Mikrotrans","JAK.16","Cililitan - Condet via Kayu Manis","55944"
"202101","Mikrotrans","JAK.15","Bulak Turi - Tanjung Priok","118715"
"202101","Mikrotrans","JAK.14","Tanah Abang - Meruya","74084"
"202101","Mikrotrans","JAK.13","Tanah Abang - Kota Intan via Jembatan Lima","14490"
"202101","Mikrotrans","JAK.12","Tanah Abang - Kebayoran Lama via Pos Pengumben","65016"
"202101","Mikrotrans","JAK.117","Tanjung Priok - Tanah Merdeka","67367"
"202101","Mikrotrans","JAK.112","Terminal Tanah Merah - Pulo Gadung","52710"
"202101","Mikrotrans","JAK.11","Tanah Abang - Kebayoran Lama","72135"
"202101","Mikrotrans","JAK.10","Tanah Abang - Kota","48001"
"202101","Mikrotrans","JAK.09","Roxy Mas - Karet","19924"
"202101","Mikrotrans","JAK.08","Roxy - Benhil","22289"
"202101","Mikrotrans","JAK.07","Tanah Abang - Grogol via Tawakal","41856"
"202101","Mikrotrans","JAK.06","Kampung Rambutan - Pondok Gede","73456"
"202101","Mikrotrans","JAK.05","Semper - Rorotan","68172"
"202101","Mikrotrans","JAK.04","Grogol - Tubagus Angke","45679"
"202101","Mikrotrans","JAK.03","Lebak Bulus - Andara","31712"
"202101","Mikrotrans","JAK.02","Kampung Melayu - Duren Sawit","44415"
"202101","Mikrotrans","JAK.01","Ttanjung Priok - Plumpang","56172"
"202101","BRT","9","Pinang Ranti - Pluit","622613"
"202101","BRT","8","Lebak Bulus - Harmoni","419996"
"202101","BRT","7","Kampung Rambutan - Kampung Melayu","377657"
"202101","BRT","6","Ragunan - Dukuh Atas 2","320411"
"202101","BRT","5","Kampung Melayu - Ancol","400573"
"202101","BRT","4","Pulo Ggadung 2 - Tosari","249575"
"202101","BRT","3","Kalideres - Pasar Baru","444971"
"202101","BRT","2","Pulo Gadung 1 - Harmoni","323751"
"202101","BRT","13","Ciledug - Tendean","266290"
"202101","BRT","12","Penjaringan - Sunter Bouleverd Barat","137793"
"202101","BRT","11","Pulo Gebang - Kampung Melayu","134632"
